,I come to lecture:,I've had prior machine learning / data science experience,Which section are you in?,"About how long, in hours, did you study for exam 1?",What year are you?,Did you do the readings?,How many hours a day on average do you spend on sites with infinite scroll?,How many hours of sleep did you get the night before the exam?,Did you leave the exam early?,What grade do you think you got?,I wanted the extra credit but just put down random responses (you'll still get the extra credit if you say yes),Total Score,Max Points
75,More than half the time,Some,2:00pm,10,Sophomore,All of them,1.5,8,No,B,No,51.9,65
76,Less than half the time,None,9:30am,4,It's complicated,Some of them,3,2,No,D,No,32.3,65
77,More than half the time,None,2:00pm,10,Junior,All of them,1,1,Yes,A,No,30.4,65
78,Always,Some,2:00pm,5,Junior,Some of them,3.5,6,No,Prefer not to say,No,55,65
79,More than half the time,Some,9:30am,2,Sophomore,All of them,2,9,Yes,A,No,53.6,65
80,More than half the time,Quite a bit,9:30am,4,Junior,Some of them,1,7,Yes,C,No,39.4,65
81,Always,Quite a bit,2:00pm,8,Junior,Some of them,2,6,No,B,No,27.5,65
82,Always,Quite a bit,2:00pm,8,Junior,Some of them,6,7,No,Prefer not to say,No,32.3,65
83,Less than half the time,None,9:30am,12,Senior,Some of them,5,4,No,B,No,50.4,65
84,Always,None,9:30am,9,Junior,Some of them,4,4,No,B,No,35.8,65
85,Always,Some,2:00pm,15,Junior,All of them,2,4,No,C,No,30.9,65
86,Always,None,2:00pm,12,Junior,All of them,1,8,No,B,No,45.8,65
87,Always,None,2:00pm,18,Junior,All of them,2,6,No,D,No,27.9,65
88,More than half the time,Quite a bit,2:00pm,5,Senior,None of them,0,8,No,C,No,41.4,65
89,More than half the time,Some,9:30am,5,Junior,Some of them,2,7,No,B,No,48.6,65
90,More than half the time,Some,9:30am,5,Sophomore,All of them,1.5,7,No,A,No,63.9,65
91,Always,None,9:30am,10,Junior,Some of them,2,3.5,No,C,No,33.5,65
92,Always,Some,2:00pm,8,Junior,All of them,0,7,No,B,No,34.8,65
93,Less than half the time,Some,2:00pm,12,Junior,Some of them,11,6,Yes,B,No,44.4,65
94,Always,Some,2:00pm,5,Junior,Some of them,2,8,No,B,No,53.3,65
95,More than half the time,None,2:00pm,15,It's complicated,Some of them,3,4,No,Prefer not to say,No,23.5,65
96,Less than half the time,Some,9:30am,6,Sophomore,Some of them,2,3,No,B,No,48.3,65
97,Always,None,2:00pm,15,Junior,Some of them,2,8,No,B,No,49,65
98,Less than half the time,Some,2:00pm,8,Junior,All of them,2,8,No,B,No,50.4,65
99,Always,Some,2:00pm,8,Junior,Some of them,2,5,No,Prefer not to say,No,43.4,65
100,Always,Some,2:00pm,12,Senior,All of them,0,4,No,B,Yes,47.3,65
101,Always,Some,2:00pm,8,Junior,Some of them,3,2,No,B,No,39.3,65
102,Always,None,9:30am,6,Junior,Some of them,2,8,Yes,C,No,46.4,65
103,Always,Some,2:00pm,4,It's complicated,Some of them,3,7,Yes,B,No,55.9,65
104,Always,None,9:30am,20,Junior,All of them,1.5,6,No,B,No,50,65
106,Always,None,2:00pm,5,Junior,All of them,3,5.5,No,A,No,57.9,65
107,More than half the time,Some,9:30am,10,Junior,Some of them,2,2,No,C,No,48.3,65
108,Always,Some,2:00pm,5,Sophomore,All of them,0,8,No,B,No,53.3,65
110,Less than half the time,Quite a bit,2:00pm,6,Senior,Some of them,2,6,No,C,No,35.5,65
111,More than half the time,None,2:00pm,5,Junior,Some of them,2,7,No,B,No,23.3,65
113,Basically never,Some,9:30am,12,Junior,Some of them,2,7.5,Yes,C,No,48.8,65
114,Always,Some,2:00pm,7,Junior,All of them,4,8,No,B,No,55.4,65
115,Always,None,2:00pm,15,Junior,All of them,0,4,No,A,No,33.9,65
116,More than half the time,None,2:00pm,4,Senior,Some of them,1,3,No,D,No,4.7,65
117,Always,None,2:00pm,6,Senior,Some of them,2,7.5,No,B,No,44.9,65
118,Always,None,9:30am,22,Junior,All of them,2,9,No,B,No,48.3,65
119,Basically never,None,9:30am,48,Senior,All of them,8,5,No,C,No,47,65
120,Less than half the time,Some,2:00pm,10,Junior,All of them,1,8,No,Prefer not to say,No,45,65
121,Always,None,2:00pm,12,Senior,All of them,1,8,No,B,No,50.4,65
